ligand_id,name,smiles,source,chembl_id,activity_pchembl_max,activity_pchembl_n,activity_types,activity_note,is_reference
CHEMBL429844,ORE-1001,CC(C)C[C@H](N[C@@H](Cc1cncn1Cc1cc(Cl)cc(Cl)c1)C(=O)O)C(=O)O,reference+chembl,CHEMBL429844,9.36,5,IC50|Imax,,true
REF_captopril,captopril,CC(CS)C(=O)N1CCC[C@H]1C(=O)O,reference,,,0,,,true
REF_ethanol,ethanol,CCO,reference,,,0,,,true
REF_lisinopril,lisinopril,NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,reference,,,0,,,true
CHEMBL1201284,CINACALCET,C[C@@H](NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12,chembl_ace2_CHEMBL3736,CHEMBL1201284,4.55,1,IC50,,false
CHEMBL1360563,HEMATEIN,O=C1C=C2CC3(O)COc4c(ccc(O)c4O)C3=C2C=C1O,chembl_ace2_CHEMBL3736,CHEMBL1360563,5.00,1,IC50,,false
CHEMBL1535,HYDROXYCHLOROQUINE,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,chembl_ace2_CHEMBL3736,CHEMBL1535,6.14,1,IC50,,false
CHEMBL163454,,O=C(N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O)[C@H](S)Cc1ccccc1,chembl_ace2_CHEMBL3736,CHEMBL163454,5.85,1,Ki,,false
CHEMBL251804,,CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccccc1Oc1ccccc1)C(=O)O,chembl_ace2_CHEMBL3736,CHEMBL251804,9.05,1,Ki,,false
CHEMBL251808,,CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccc(OCc2ccc(F)c(F)c2)cc1)C(=O)O,chembl_ace2_CHEMBL3736,CHEMBL251808,9.07,1,Ki,,false
CHEMBL251809,,CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccc(OCc2ccc(C(F)(F)F)cc2)cc1)C(=O)O,chembl_ace2_CHEMBL3736,CHEMBL251809,7.46,1,Ki,,false
CHEMBL252417,,Cc1nnc(S/C(=C/c2ccc(-c3cc(Cl)ccc3C)o2)C(=O)O)[nH]1,chembl_ace2_CHEMBL3736,CHEMBL252417,4.21,1,IC50,,false
CHEMBL253428,,CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccc2ccccc2c1)C(=O)O,chembl_ace2_CHEMBL3736,CHEMBL253428,8.62,1,Ki,,false
CHEMBL258333,,O=C(CS)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O,chembl_ace2_CHEMBL3736,CHEMBL258333,6.50,1,Ki,,false
CHEMBL260273,,CC(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@@H]1P(=O)(O)C[C@@H](Cc1ccccc1)C(=O)O,chembl_ace2_CHEMBL3736,CHEMBL260273,9.89,2,Ki,,false
CHEMBL260677,,O=C(O)[C@H](Cc1ccccc1)CP(=O)(O)[C@H]1CCCN1C(=O)OCc1ccccc1,chembl_ace2_CHEMBL3736,CHEMBL260677,6.52,1,Ki,,false
CHEMBL271224,,O=C(O)[C@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)[C@@H](S)CC1CCCCC1,chembl_ace2_CHEMBL3736,CHEMBL271224,6.38,1,Ki,,false
CHEMBL3640116,BI-1942,CC[C@H](CC(=O)O)n1c(=O)c2ncccc2n(Cc2cn(C)c3cc(C)cc(C)c23)c1=O,chembl_ace2_CHEMBL3736,CHEMBL3640116,,0,% Ctrl,Not Active,false
CHEMBL400526,,CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,chembl_ace2_CHEMBL3736,CHEMBL400526,8.82,1,Ki,,false
