ligand_id,name,smiles,source,chembl_id,activity_pchembl_max,activity_pchembl_n,activity_types,activity_note,is_reference
CHEMBL112,ACETAMINOPHEN,CC(=O)Nc1ccc(O)cc1,reference+chembl,CHEMBL112,,0,AC50|IC50|INH|Ki,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured) ; Summarised AC50 (mean value for measurements with a relation sign '='; largest value for measurements with relation sign '>'),true
CHEMBL113,CAFFEINE,Cn1c(=O)c2c(ncn2C)n(C)c1=O,reference+chembl,CHEMBL113,,0,AC50|IC50|Inhibition|Ki,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured) ; Summarised AC50 (mean value for measurements with a relation sign '='; largest value for measurements with relation sign '>'),true
CHEMBL118,CELECOXIB,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,reference+chembl,CHEMBL118,9.33,207,AC50|Activity|Delta G|FC|IC50|INH|Inhibition|Ka|Ki|T1/2,412290 ; Active ; Note: corresponding IC50 reported as Active ; Summarised AC50 (mean value for measurements with a relation sign '='; largest value for measurements with relation sign '>'),true
CHEMBL122,ROFECOXIB,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,reference+chembl,CHEMBL122,9.00,61,AC50|Activity|IC50|Inhibition|Ki|Ratio IC50,Active ; Note: corresponding IC50 reported as Active ; Summarised AC50 (mean value for measurements with a relation sign '='; largest value for measurements with relation sign '>'),true
CHEMBL12952,naproxen,COc1ccc2cc(C(C)C(=O)O)ccc2c1,reference+chembl,CHEMBL12952,6.55,1,IC50,,true
CHEMBL139,DICLOFENAC,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,reference+chembl,CHEMBL139,8.30,24,AC50|IC50|Inhibition|Ki,Note: corresponding IC50 reported as Active ; Summarised AC50 (mean value for measurements with a relation sign '='; largest value for measurements with relation sign '>'),true
CHEMBL25,ASPIRIN,CC(=O)Oc1ccccc1C(=O)O,reference+chembl,CHEMBL25,5.62,13,AC50|Activity|IC50|Inhibition|Ka|Ki,Not Active ; Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured) ; Summarised AC50 (mean value for measurements with a relation sign '='; largest value for measurements with relation sign '>'),true
CHEMBL521,IBUPROFEN,CC(C)Cc1ccc(C(C)C(=O)O)cc1,reference+chembl,CHEMBL521,7.00,35,AC50|IC50|Inhibition|Ki,Not Active ; Note: corresponding IC50 reported as Active ; Summarised AC50 (mean value for measurements with a relation sign '='; largest value for measurements with relation sign '>'),true
CHEMBL599,MELOXICAM,Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,reference+chembl,CHEMBL599,6.80,9,AC50|IC50|Imax|Inhibition|Ki,Note: corresponding IC50 reported as Active ; Summarised AC50 (mean value for measurements with a relation sign '='; largest value for measurements with relation sign '>'),true
CHEMBL6,INDOMETHACIN,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,reference+chembl,CHEMBL6,8.23,115,AC50|Activity|IC50|INH|Inhibition|Ka|Kd|Ki,Active ; ND ; Not Active ; Not Determined ; Note: corresponding IC50 reported as Active ; Summarised AC50 (mean value for measurements with a relation sign '='; largest value for measurements with relation sign '>'),true
REF_ethanol,ethanol,CCO,reference,,,0,,,true
CHEMBL111518,,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc3c(c2)OCO3)cc1,chembl_cox2_CHEMBL230,CHEMBL111518,7.62,1,IC50,,false
CHEMBL111786,,NS(=O)(=O)c1ccc(C2=C(c3ccc(F)c(Cl)c3)CCC2)cc1,chembl_cox2_CHEMBL230,CHEMBL111786,8.00,2,IC50,,false
CHEMBL116253,,Cc1ccncc1-c1c(Cl)ncn1-c1ccc(S(C)(=O)=O)cc1,chembl_cox2_CHEMBL230,CHEMBL116253,6.55,1,IC50|Inhibition,,false
CHEMBL118064,,NS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccccc2)cc1,chembl_cox2_CHEMBL230,CHEMBL118064,8.05,1,IC50|Inhibition|NT,Not Determined,false
CHEMBL119170,,CC(C)(C)c1cc(C(=O)NC2CC2)cc2c1OCC2(C)C,chembl_cox2_CHEMBL230,CHEMBL119170,6.26,1,IC50,,false
