N,docked,jobs,recall5_literal,recall5_tiecredit,recall10_literal,recall10_tiecredit,est_dock_wall_s,speedup_vs_full
1,1,4,1,1,1,1,306.3,30.4
2,2,8,1,1,1,1,360.4,25.9
3,3,12,1,1,1,1,748.9,12.4
4,4,16,1,1,1,1,1422.1,6.6
5,5,20,1,1,1,1,1772.6,5.3
6,6,24,1,1,1,1,2040.9,4.6
7,7,28,1,1,2,4,2389.3,3.9
8,8,32,1,1,2,4,2685.6,3.5
9,9,36,1,1,2,4,2957.9,3.2
10,10,40,1,1,2,4,3232.2,2.9
11,11,44,1,1,2,4,3422.6,2.7
12,12,48,1,1,3,4,3470.6,2.7
13,13,52,2,3,4,8,3787.0,2.5
14,14,56,2,3,4,8,3933.2,2.4
15,15,60,2,3,5,8,4099.4,2.3
16,16,64,2,3,5,8,4205.6,2.2
17,17,68,2,3,5,8,4592.1,2.0
18,18,72,2,3,5,8,4784.3,1.9
19,19,76,2,3,5,8,4960.5,1.9
20,20,80,2,3,5,8,5142.8,1.8
21,21,84,2,3,5,8,5270.9,1.8
22,22,88,3,3,6,8,5435.2,1.7
23,23,92,3,3,6,8,5509.3,1.7
24,24,96,4,5,7,10,5639.4,1.7
25,25,100,4,5,8,10,5855.6,1.6
26,26,104,4,5,8,10,6006.3,1.6
27,27,108,4,5,8,10,6256.7,1.5
28,28,112,4,5,8,10,6264.8,1.5
29,29,116,4,5,8,10,6272.8,1.5
30,30,120,5,5,9,10,6599.5,1.4
31,31,124,5,5,9,10,6607.6,1.4
32,32,128,5,5,9,10,6615.6,1.4
33,33,132,5,5,9,10,6623.7,1.4
34,34,136,5,5,9,10,6696.0,1.4
35,35,140,5,5,10,10,6948.4,1.3
36,36,144,5,5,10,10,7072.5,1.3
37,37,148,5,5,10,10,7118.6,1.3
38,38,152,5,5,10,10,7134.6,1.3
39,38,152,5,5,10,10,7134.6,1.3
40,38,152,5,5,10,10,7134.6,1.3
41,38,152,5,5,10,10,7134.6,1.3
42,38,152,5,5,10,10,7134.6,1.3
43,38,152,5,5,10,10,7134.6,1.3
44,38,152,5,5,10,10,7134.6,1.3
45,38,152,5,5,10,10,7134.6,1.3
