N,docked,r5l,r5t,r10l,r10t,est_wall_s,speedup
1,1,1,1,1,1,306.3,30.4
2,2,1,1,1,1,360.4,25.9
3,3,1,1,1,1,748.9,12.4
4,4,1,1,1,1,1422.1,6.6
5,5,1,1,1,1,1772.6,5.3
6,6,1,1,1,1,2040.9,4.6
7,7,1,1,2,4,2389.3,3.9
8,8,1,1,2,4,2685.6,3.5
9,9,1,1,2,4,2957.9,3.2
10,10,1,1,2,4,3232.2,2.9
11,11,1,1,2,4,3422.6,2.7
12,12,1,1,3,4,3470.6,2.7
13,13,2,3,4,8,3787.0,2.5
14,14,2,3,4,8,3933.2,2.4
15,15,2,3,5,8,4099.4,2.3
16,16,2,3,5,8,4205.6,2.2
17,17,2,3,5,8,4592.1,2.0
18,18,2,3,5,8,4784.3,1.9
19,19,2,3,5,8,4960.5,1.9
20,20,2,3,5,8,5142.8,1.8
21,21,2,3,5,8,5270.9,1.8
22,22,3,3,6,8,5435.2,1.7
23,23,3,3,6,8,5509.3,1.7
24,24,4,5,7,10,5639.4,1.7
25,25,4,5,8,10,5855.6,1.6
26,26,4,5,8,10,6006.4,1.6
27,27,4,5,8,10,6256.7,1.5
28,28,4,5,8,10,6264.8,1.5
29,29,4,5,8,10,6272.8,1.5
30,30,5,5,9,10,6599.5,1.4
31,31,5,5,9,10,6607.6,1.4
32,32,5,5,9,10,6615.6,1.4
33,33,5,5,9,10,6623.7,1.4
34,34,5,5,9,10,6696.0,1.4
35,35,5,5,10,10,6948.4,1.3
36,36,5,5,10,10,7072.5,1.3
37,37,5,5,10,10,7118.6,1.3
38,38,5,5,10,10,7134.6,1.3
39,38,5,5,10,10,7134.6,1.3
40,38,5,5,10,10,7134.6,1.3
41,38,5,5,10,10,7134.6,1.3
42,38,5,5,10,10,7134.6,1.3
43,38,5,5,10,10,7134.6,1.3
44,38,5,5,10,10,7134.6,1.3
45,38,5,5,10,10,7134.6,1.3
