N,docked,jobs,recall5_literal,recall5_tiecredit,recall10_literal,recall10_tiecredit,est_dock_wall_s,speedup_vs_full
1,1,4,0,0,0,0,118.3,60.3
2,2,8,0,0,0,0,274.7,26.0
3,3,12,0,0,1,3,555.4,12.8
4,4,16,1,2,2,6,643.7,11.1
5,5,20,1,2,3,7,753.9,9.5
6,6,24,1,2,3,7,858.3,8.3
7,7,28,1,2,4,7,1303.5,5.5
8,8,32,1,2,4,7,1455.7,4.9
9,9,36,1,2,4,7,1608.1,4.4
10,10,40,2,4,5,9,1776.5,4.0
11,11,44,2,4,5,9,1832.7,3.9
12,12,48,2,4,5,9,1959.0,3.6
13,13,52,2,4,5,9,2089.2,3.4
14,14,56,3,4,6,9,2171.5,3.3
15,15,60,3,4,6,9,2255.6,3.2
16,16,64,3,4,6,9,2319.9,3.1
17,17,68,3,4,6,9,2426.5,2.9
18,18,72,3,4,6,9,2492.8,2.9
19,19,76,3,4,7,9,2601.0,2.7
20,20,80,3,4,7,9,2641.3,2.7
21,21,84,3,4,7,9,2950.1,2.4
22,22,88,3,4,7,9,3064.3,2.3
23,23,92,3,4,7,9,3186.7,2.2
24,24,96,3,4,7,9,3264.9,2.2
25,25,100,3,4,7,9,3421.3,2.1
26,26,104,3,4,7,9,3499.5,2.0
27,27,108,3,4,7,9,3581.7,2.0
28,28,112,3,4,7,9,3705.9,1.9
29,29,116,3,4,7,9,3862.1,1.8
30,30,120,4,4,8,9,4015.7,1.8
31,31,124,4,4,8,9,4166.1,1.7
32,32,128,5,5,9,10,4320.5,1.7
33,33,132,5,5,9,10,4456.7,1.6
34,34,136,5,5,9,10,4542.8,1.6
35,35,140,5,5,9,10,4594.9,1.6
36,36,144,5,5,10,10,4795.2,1.5
37,37,148,5,5,10,10,4849.2,1.5
38,38,152,5,5,10,10,4901.4,1.5
39,39,156,5,5,10,10,4925.5,1.4
40,40,160,5,5,10,10,4963.7,1.4
41,41,164,5,5,10,10,5003.8,1.4
42,41,164,5,5,10,10,5003.8,1.4
43,41,164,5,5,10,10,5003.8,1.4
44,41,164,5,5,10,10,5003.8,1.4
45,41,164,5,5,10,10,5003.8,1.4
