N,v7_r5_literal,v7_r5_tiecredit,v7_r10_literal,v7_r10_tiecredit,surr41_rf_r5_literal,surr41_rf_r5_tiecredit,surr41_rf_r10_literal,surr41_rf_r10_tiecredit,surr45_rf_r5_literal,surr45_rf_r5_tiecredit,surr45_rf_r10_literal,surr45_rf_r10_tiecredit,surr41_speedup_vs_full
1,0,0,0,0,0,0,1,3,0,0,1,3,35.6
2,0,0,0,0,0,0,1,3,0,0,1,3,20.0
3,0,0,1,3,0,0,1,3,0,0,1,3,16.3
4,1,2,2,6,0,0,1,4,0,0,1,4,12.5
5,1,2,3,7,0,0,1,4,0,0,1,4,9.9
6,1,2,3,7,1,2,2,7,1,2,2,7,8.9
7,1,2,4,7,1,2,2,7,1,2,2,7,7.4
8,1,2,4,7,1,2,2,7,1,2,2,7,6.6
9,1,2,4,7,1,2,2,7,1,2,2,7,6.2
10,2,4,5,9,1,2,2,7,1,2,2,7,5.6
11,2,4,5,9,1,2,3,7,1,2,2,7,4.6
12,2,4,5,9,2,4,4,9,1,2,3,7,4.1
13,2,4,5,9,3,4,5,9,2,4,4,9,3.8
14,3,4,6,9,3,4,5,9,3,4,5,9,3.6
15,3,4,6,9,3,4,5,9,3,4,5,9,3.5
16,3,4,6,9,3,4,6,9,3,4,5,9,2.9
17,3,4,6,9,3,4,7,9,3,4,6,9,2.7
18,3,4,6,9,4,5,8,10,3,4,7,9,2.6
19,3,4,7,9,4,5,9,10,4,5,8,10,2.5
20,3,4,7,9,4,5,9,10,4,5,9,10,2.4
21,3,4,7,9,5,5,10,10,4,5,9,10,2.3
22,3,4,7,9,5,5,10,10,5,5,10,10,2.2
23,3,4,7,9,5,5,10,10,5,5,10,10,2.2
24,3,4,7,9,5,5,10,10,5,5,10,10,2.1
25,3,4,7,9,5,5,10,10,5,5,10,10,2.0
26,3,4,7,9,5,5,10,10,5,5,10,10,1.9
27,3,4,7,9,5,5,10,10,5,5,10,10,1.8
28,3,4,7,9,5,5,10,10,5,5,10,10,1.7
29,3,4,7,9,5,5,10,10,5,5,10,10,1.7
30,4,4,8,9,5,5,10,10,5,5,10,10,1.7
31,4,4,8,9,5,5,10,10,5,5,10,10,1.6
32,5,5,9,10,5,5,10,10,5,5,10,10,1.6
33,5,5,9,10,5,5,10,10,5,5,10,10,1.6
34,5,5,9,10,5,5,10,10,5,5,10,10,1.5
35,5,5,9,10,5,5,10,10,5,5,10,10,1.5
36,5,5,10,10,5,5,10,10,5,5,10,10,1.5
37,5,5,10,10,5,5,10,10,5,5,10,10,1.5
38,5,5,10,10,5,5,10,10,5,5,10,10,1.5
39,5,5,10,10,5,5,10,10,5,5,10,10,1.4
40,5,5,10,10,5,5,10,10,5,5,10,10,1.4
41,5,5,10,10,5,5,10,10,5,5,10,10,1.4
42,5,5,10,10,,,,,5,5,10,10,
43,5,5,10,10,,,,,5,5,10,10,
44,5,5,10,10,,,,,5,5,10,10,
45,5,5,10,10,,,,,5,5,10,10,
