policy,N_at_5of5,straggler5,N_at_10of10,straggler10,gap_9to10
v7,32,CHEMBL2315019,36,CHEMBL6,4
P5_surrogate_ridge,20,CHEMBL34913,25,CHEMBL327900,1
P5_surrogate_rf,21,CHEMBL34913,21,CHEMBL34913,2
P5_surrogate_krr_tanimoto,26,CHEMBL2315019,26,CHEMBL2315019,3
P6_two_phase_S5,33,CHEMBL184613,39,CHEMBL149781,4
P6_two_phase_S8,39,CHEMBL111786,39,CHEMBL111786,3
P6_two_phase_S10,40,CHEMBL2315019,40,CHEMBL2315019,16
P6_two_phase_S13,28,CHEMBL2315019,33,CHEMBL1956384,5
P6_two_phase_S16,26,CHEMBL2315019,26,CHEMBL2315019,1
P6_two_phase_S20,30,CHEMBL2315019,30,CHEMBL2315019,1
P7_control_v7_topS_S5,33,CHEMBL184613,39,CHEMBL149781,4
P7_control_v7_topS_S8,39,CHEMBL111786,39,CHEMBL111786,3
P7_control_v7_topS_S10,40,CHEMBL2315019,40,CHEMBL2315019,16
P7_control_v7_topS_S13,28,CHEMBL2315019,33,CHEMBL1956384,5
P7_control_v7_topS_S16,26,CHEMBL2315019,26,CHEMBL2315019,1
P7_control_v7_topS_S20,30,CHEMBL2315019,30,CHEMBL2315019,1
P7_maxmin_diversity_S5,20,CHEMBL34913,29,CHEMBL6,2
P7_maxmin_diversity_S8,28,CHEMBL34913,36,CHEMBL149781,3
P7_maxmin_diversity_S10,35,CHEMBL34913,35,CHEMBL34913,6
P7_maxmin_diversity_S13,36,CHEMBL34913,36,CHEMBL34913,1
P7_maxmin_diversity_S16,25,CHEMBL184613,37,CHEMBL327900,4
P7_maxmin_diversity_S20,27,CHEMBL111786,39,CHEMBL327900,5
P7_stratified_v7_score_S5,26,CHEMBL2315019,28,CHEMBL6,2
P7_stratified_v7_score_S8,28,CHEMBL2315019,28,CHEMBL2315019,1
P7_stratified_v7_score_S10,24,CHEMBL184613,27,CHEMBL6,3
P7_stratified_v7_score_S13,25,CHEMBL2315019,30,CHEMBL149781,1
P7_stratified_v7_score_S16,25,CHEMBL111786,34,CHEMBL111518,4
P7_stratified_v7_score_S20,30,CHEMBL2315019,33,CHEMBL6,3
P7_random_seed0_S5,25,CHEMBL111786,29,CHEMBL1956384,3
P7_random_seed0_S8,31,CHEMBL184613,31,CHEMBL184613,1
P7_random_seed0_S10,28,CHEMBL2315019,35,CHEMBL6,7
P7_random_seed0_S13,32,CHEMBL2315019,32,CHEMBL2315019,8
P7_random_seed0_S16,30,CHEMBL2315019,32,CHEMBL6,2
P7_random_seed0_S20,30,CHEMBL2315019,30,CHEMBL2315019,1
