strategy,S,N,jobs,est_wall_s,speedup_vs_45,r5_lit,r5_tie,r10_lit,r10_tie,named_docked,named_rank,v7_r5_lit,surrRF_r5_lit
control_v7_topS,5,5,20,753.9,9.46,1,2,3,7,False,,1,0
control_v7_topS,5,6,24,858.3,8.31,1,2,3,7,False,,1,1
control_v7_topS,5,7,28,942.4,7.57,1,2,3,7,False,,1,1
control_v7_topS,5,8,32,1049.0,6.8,1,2,3,7,False,,1,1
control_v7_topS,5,9,36,1089.3,6.55,1,2,3,7,False,,1,1
control_v7_topS,5,10,40,1398.1,5.1,1,2,3,7,False,,2,1
control_v7_topS,5,11,44,1454.4,4.91,1,2,3,7,False,,2,1
control_v7_topS,5,12,48,1532.6,4.65,1,2,3,7,False,,2,2
control_v7_topS,5,13,52,1688.9,4.22,1,2,3,7,False,,2,3
control_v7_topS,5,14,56,1753.2,4.07,1,2,3,7,False,,3,3
control_v7_topS,5,15,60,1877.4,3.8,1,2,3,7,False,,3,3
control_v7_topS,5,16,64,1931.4,3.69,1,2,3,7,False,,3,3
control_v7_topS,5,17,68,1983.6,3.6,1,2,3,7,False,,3,3
control_v7_topS,5,18,72,2007.7,3.55,1,2,3,7,False,,3,4
control_v7_topS,5,19,76,2059.7,3.46,1,2,3,7,False,,3,4
control_v7_topS,5,20,80,2099.8,3.4,1,2,3,7,False,,3,4
control_v7_topS,5,21,84,2182.1,3.27,2,2,4,7,False,,3,5
control_v7_topS,5,22,88,2350.5,3.04,3,4,5,9,False,,3,5
control_v7_topS,5,23,92,2472.9,2.88,3,4,5,9,False,,3,5
control_v7_topS,5,24,96,2511.1,2.84,3,4,5,9,False,,3,5
control_v7_topS,5,25,100,2597.2,2.75,3,4,5,9,False,,3,5
control_v7_topS,5,26,104,2797.5,2.55,3,4,6,9,False,,3,5
control_v7_topS,5,27,108,2879.7,2.48,3,4,6,9,False,,3,5
control_v7_topS,5,28,112,3015.9,2.37,3,4,6,9,False,,3,5
control_v7_topS,5,29,116,3170.2,2.25,4,5,7,10,True,1,3,5
control_v7_topS,5,30,120,3248.4,2.2,4,5,7,10,True,1,4,5
control_v7_topS,5,31,124,3314.7,2.15,4,5,7,10,True,1,4,5
control_v7_topS,5,32,128,3465.2,2.06,4,5,7,10,True,1,5,5
control_v7_topS,5,33,132,3618.7,1.97,5,5,8,10,True,1,5,5
control_v7_topS,5,34,136,3745.0,1.91,5,5,8,10,True,1,5,5
control_v7_topS,5,35,140,3853.2,1.85,5,5,9,10,True,1,5,5
control_v7_topS,5,36,144,3967.4,1.8,5,5,9,10,True,1,5,5
control_v7_topS,5,37,148,4097.6,1.74,5,5,9,10,True,1,5,5
control_v7_topS,5,38,152,4250.0,1.68,5,5,9,10,True,1,5,5
control_v7_topS,5,39,156,4695.2,1.52,5,5,10,10,True,1,5,5
control_v7_topS,5,40,160,4847.4,1.47,5,5,10,10,True,1,5,5
control_v7_topS,5,41,164,5003.8,1.43,5,5,10,10,True,1,5,5
control_v7_topS,8,8,32,1455.7,4.9,1,2,4,7,False,,1,1
control_v7_topS,8,9,36,1522.0,4.69,1,2,4,7,False,,1,1
control_v7_topS,8,10,40,1600.2,4.46,1,2,4,7,False,,2,1
control_v7_topS,8,11,44,1708.4,4.18,1,2,5,7,False,,2,1
control_v7_topS,8,12,48,1815.0,3.93,1,2,5,7,False,,2,2
control_v7_topS,8,13,52,1967.4,3.63,1,2,5,7,False,,2,3
control_v7_topS,8,14,56,2089.7,3.41,1,2,5,7,False,,3,3
control_v7_topS,8,15,60,2146.0,3.32,1,2,5,7,False,,3,3
control_v7_topS,8,16,64,2186.2,3.26,1,2,5,7,False,,3,3
control_v7_topS,8,17,68,2336.7,3.05,1,2,5,7,False,,3,3
control_v7_topS,8,18,72,2360.7,3.02,1,2,5,7,False,,3,4
control_v7_topS,8,19,76,2516.9,2.83,1,2,5,7,False,,3,4
control_v7_topS,8,20,80,2571.0,2.77,1,2,5,7,False,,3,4
control_v7_topS,8,21,84,2623.1,2.72,1,2,5,7,False,,3,5
control_v7_topS,8,22,88,2675.3,2.67,1,2,5,7,False,,3,5
control_v7_topS,8,23,92,2984.1,2.39,1,2,5,7,False,,3,5
control_v7_topS,8,24,96,3068.2,2.33,1,2,5,7,False,,3,5
control_v7_topS,8,25,100,3108.3,2.3,1,2,5,7,False,,3,5
control_v7_topS,8,26,104,3172.6,2.25,1,2,5,7,False,,3,5
control_v7_topS,8,27,108,3372.9,2.12,1,2,6,7,False,,3,5
control_v7_topS,8,28,112,3411.1,2.09,1,2,6,7,False,,3,5
control_v7_topS,8,29,116,3564.7,2.0,2,4,7,9,False,,3,5
control_v7_topS,8,30,120,3694.9,1.93,2,4,7,9,False,,4,5
control_v7_topS,8,31,124,3781.0,1.89,2,4,7,9,False,,4,5
control_v7_topS,8,32,128,3905.2,1.83,2,4,7,9,False,,5,5
control_v7_topS,8,33,132,3983.5,1.79,2,4,7,9,False,,5,5
control_v7_topS,8,34,136,4109.7,1.74,2,4,7,9,False,,5,5
control_v7_topS,8,35,140,4192.0,1.7,3,4,8,9,False,,5,5
control_v7_topS,8,36,144,4346.4,1.64,4,5,9,10,True,1,5,5
control_v7_topS,8,37,148,4460.6,1.6,4,5,9,10,True,1,5,5
control_v7_topS,8,38,152,4542.8,1.57,4,5,9,10,True,1,5,5
control_v7_topS,8,39,156,4711.2,1.51,5,5,10,10,True,1,5,5
control_v7_topS,8,40,160,4847.4,1.47,5,5,10,10,True,1,5,5
control_v7_topS,8,41,164,5003.8,1.43,5,5,10,10,True,1,5,5
control_v7_topS,10,10,40,1776.5,4.02,2,4,5,9,False,,2,1
control_v7_topS,10,11,44,1890.7,3.77,2,4,5,9,False,,2,1
control_v7_topS,10,12,48,1972.9,3.62,2,4,5,9,False,,2,2
control_v7_topS,10,13,52,2055.2,3.47,3,4,6,9,False,,2,3
control_v7_topS,10,14,56,2095.5,3.4,3,4,6,9,False,,3,3
control_v7_topS,10,15,60,2151.8,3.32,3,4,6,9,False,,3,3
